subject_id,session_id,segment_idx,timestamp,alpha_power,beta_power,theta_power,gamma_power,disengaged
S001,U8KXB4N9,0,2025-04-01 14:00:00,1.5964,0.9354,1.362,0.998,1
S001,U8KXB4N9,1,2025-04-01 14:00:10,0.9799,0.9322,1.4147,0.7717,1
S001,U8KXB4N9,2,2025-04-01 14:00:20,1.4633,0.7045,1.6506,1.0507,1
S001,U8KXB4N9,4,2025-04-01 14:00:40,1.1389,0.8947,0.8671,0.2875,1
S001,U8KXB4N9,6,2025-04-01 14:01:00,1.3752,0.8834,1.1537,0.5461,1
S001,U8KXB4N9,7,2025-04-01 14:01:10,0.9758,0.986,1.4086,0.6145,1
S001,U8KXB4N9,8,2025-04-01 14:01:20,0.6898,0.8007,1.5167,0.5937,1
S001,U8KXB4N9,9,2025-04-01 14:01:30,0.8823,0.6248,1.3484,0.765,1
S001,U8KXB4N9,10,2025-04-01 14:01:40,0.7919,0.7976,1.2631,0.839,1
S001,U8KXB4N9,12,2025-04-01 14:02:00,0.9719,0.5668,1.111,0.635,1
S001,U8KXB4N9,13,2025-04-01 14:02:10,1.6856,0.821,1.6523,0.9523,1
S001,U8KXB4N9,14,2025-04-01 14:02:20,1.7203,0.9056,0.8713,0.3127,1
S001,U8KXB4N9,15,2025-04-01 14:02:30,1.0377,0.6247,1.8692,0.5873,1
S001,U8KXB4N9,16,2025-04-01 14:02:40,1.5705,0.9938,1.3615,0.7657,1
S001,U8KXB4N9,17,2025-04-01 14:02:50,0.9708,1.1913,1.2777,0.6516,1
S001,U8KXB4N9,18,2025-04-01 14:03:00,1.0062,1.1317,1.1152,0.6576,1
S001,U8KXB4N9,19,2025-04-01 14:03:10,1.1354,0.7136,1.3673,0.8545,1
S001,U8KXB4N9,20,2025-04-01 14:03:20,1.0155,1.2313,2.9059,1.0664,1
S001,U8KXB4N9,21,2025-04-01 14:03:30,1.0803,0.7928,1.2293,0.6655,1
S001,U8KXB4N9,22,2025-04-01 14:03:40,1.1172,0.9466,1.2062,0.9133,1
S001,U8KXB4N9,23,2025-04-01 14:03:50,1.1775,0.8589,1.6606,0.4998,1
S001,U8KXB4N9,24,2025-04-01 14:04:00,1.2901,1.0903,1.458,0.6718,1
S001,U8KXB4N9,25,2025-04-01 14:04:10,1.3948,1.0146,1.6332,1.1516,1
S001,U8KXB4N9,26,2025-04-01 14:04:20,0.8922,0.7929,1.2421,0.6559,1
S001,U8KXB4N9,28,2025-04-01 14:04:40,1.2316,0.6642,1.742,0.6427,1
S001,U8KXB4N9,29,2025-04-01 14:04:50,1.0927,0.9635,1.8022,0.4456,1
S001,U8KXB4N9,30,2025-04-01 14:05:00,0.9265,0.991,1.3376,1.055,1
S001,U8KXB4N9,31,2025-04-01 14:05:10,0.8265,0.9613,0.7794,0.8368,1
S001,U8KXB4N9,32,2025-04-01 14:05:20,1.7387,0.7918,1.4813,0.7284,1
S001,U8KXB4N9,33,2025-04-01 14:05:30,1.1143,1.2305,1.5714,0.7199,1
S001,U8KXB4N9,34,2025-04-01 14:05:40,1.5927,0.7631,2.0019,0.4274,1
S001,U8KXB4N9,36,2025-04-01 14:06:00,1.0786,0.8493,1.8505,1.0079,1
S001,U8KXB4N9,38,2025-04-01 14:06:20,1.3461,0.7198,1.1264,0.7175,1
S001,U8KXB4N9,39,2025-04-01 14:06:30,1.0463,1.0573,1.4989,0.7462,1
S001,U8KXB4N9,40,2025-04-01 14:06:40,1.0286,1.1421,1.2664,0.634,1
S001,U8KXB4N9,42,2025-04-01 14:07:00,1.4592,0.7699,1.2244,0.5966,1
S001,U8KXB4N9,43,2025-04-01 14:07:10,1.1507,0.992,1.5996,0.5218,1
S001,U8KXB4N9,44,2025-04-01 14:07:20,1.058,0.6785,1.4547,0.735,1
S001,U8KXB4N9,45,2025-04-01 14:07:30,1.0273,0.6118,1.1726,0.7386,1
S001,U8KXB4N9,46,2025-04-01 14:07:40,1.1485,0.7158,1.1077,1.0705,1
S001,U8KXB4N9,47,2025-04-01 14:07:50,0.8213,0.946,1.3086,0.4654,1
S001,U8KXB4N9,48,2025-04-01 14:08:00,1.0034,0.7007,1.1539,0.4427,1
S001,U8KXB4N9,49,2025-04-01 14:08:10,1.043,0.5732,1.1765,0.9222,1
S001,U8KXB4N9,50,2025-04-01 14:08:20,1.2838,1.1292,1.1622,0.6968,1
S001,U8KXB4N9,51,2025-04-01 14:08:30,0.7604,0.851,0.9863,1.2063,1
S001,U8KXB4N9,53,2025-04-01 14:08:50,1.3674,0.7665,1.6006,1.1512,1
S001,U8KXB4N9,54,2025-04-01 14:09:00,0.868,0.6809,1.6562,0.7169,1
S001,U8KXB4N9,55,2025-04-01 14:09:10,1.5071,0.8331,1.4693,0.6183,1
S001,U8KXB4N9,56,2025-04-01 14:09:20,1.1939,0.4983,1.1096,0.7786,1
S001,U8KXB4N9,57,2025-04-01 14:09:30,1.0253,1.0028,0.8968,0.4064,1
S001,U8KXB4N9,58,2025-04-01 14:09:40,0.9975,0.5867,1.0724,0.8102,1
S001,U8KXB4N9,59,2025-04-01 14:09:50,0.997,0.5482,2.7261,0.7285,1
S001,U8KXB4N9,60,2025-04-01 14:10:00,1.0514,0.7499,1.3314,0.8583,1
S001,U8KXB4N9,61,2025-04-01 14:10:10,1.2308,0.7654,1.4107,0.4134,1
S002,U5HKN6BB,0,2025-02-10 14:00:00,1.118,1.0848,2.5015,0.9563,0
S002,U5HKN6BB,2,2025-02-10 14:00:20,1.3296,0.8827,1.2217,0.7736,0
S002,U5HKN6BB,3,2025-02-10 14:00:30,0.9309,0.9549,1.6453,1.08,0
S002,U5HKN6BB,4,2025-02-10 14:00:40,1.1062,0.9744,1.2239,1.6649,0
S002,U5HKN6BB,6,2025-02-10 14:01:00,0.9077,1.2465,1.3352,0.4314,0
S002,U5HKN6BB,7,2025-02-10 14:01:10,1.0758,0.9922,1.2049,0.6521,0
S002,U5HKN6BB,8,2025-02-10 14:01:20,0.9057,0.6828,1.1207,1.3623,0
