iter	Logloss
0	0.6898798568
1	0.6872510542
2	0.6849228463
3	0.6821646424
4	0.6799112699
5	0.6777350558
6	0.6757431746
7	0.6739797198
8	0.6726328405
9	0.6711218299
10	0.6697552181
11	0.668357455
12	0.6673568906
13	0.6658116215
14	0.6646656847
15	0.6631141669
16	0.6619963753
17	0.6610722521
18	0.6599847048
19	0.6594100467
20	0.6584454644
21	0.6578500833
22	0.6571272174
23	0.6563546119
24	0.6555939782
25	0.6547042194
26	0.6541511013
27	0.6535888061
28	0.6527932369
29	0.652292738
30	0.6514869236
31	0.6508375914
32	0.6502873746
33	0.6495714356
34	0.6490569998
35	0.6484534484
36	0.6479274064
37	0.6472790226
38	0.6467614171
39	0.6461745647
40	0.645503318
41	0.6451088745
42	0.6447189444
43	0.6443540981
44	0.6439119922
45	0.6434376211
46	0.6429416039
47	0.642356604
48	0.6420473544
49	0.641277225
50	0.6409918289
51	0.6404607427
52	0.6397383806
53	0.6394859193
54	0.6388941498
55	0.6383792635
56	0.6379538405
57	0.6375493414
58	0.6370603735
59	0.636800867
60	0.6364481238
61	0.6360165123
62	0.6355222118
63	0.6351018792
64	0.6345221917
65	0.6342635125
66	0.6337398864
67	0.6334468161
68	0.6330436157
69	0.6324562506
70	0.6320007425
71	0.6316592264
72	0.6311851807
73	0.6305727189
74	0.6301267725
75	0.6295180876
76	0.6291225872
77	0.6287400582
78	0.6283330909
79	0.6281009197
80	0.6276063527
81	0.6272627701
82	0.6267433843
83	0.6261184721
84	0.62579795
85	0.6254962648
86	0.6252032857
87	0.6247113673
88	0.6241749707
89	0.6237407379
90	0.6230570801
91	0.6227806223
92	0.6222620969
93	0.6218370342
94	0.6214957339
95	0.6209765427
96	0.6204082569
97	0.6199499816
98	0.61935852
99	0.6190520929
100	0.6186638596
101	0.6180499746
102	0.6176224885
103	0.6173461287
104	0.6169635719
105	0.6165115696
106	0.6161916168
107	0.6155566426
108	0.6149445081
109	0.6145838245
110	0.6142243023
111	0.6136765859
112	0.613293661
113	0.6128663813
114	0.6123574473
115	0.6120450546
116	0.611736078
117	0.6113857057
118	0.6107603137
119	0.6104280283
120	0.6101169194
121	0.6096095992
122	0.6091314375
123	0.608467202
124	0.6080507465
125	0.6076614095
126	0.6073487419
127	0.6070572443
128	0.6066709599
129	0.6063313721
130	0.6060569707
131	0.605607409
132	0.6054004877
133	0.6049143706
134	0.6045354389
135	0.6040394417
136	0.6034900624
137	0.6032113573
138	0.6029301604
139	0.6023485642
140	0.6020150745
141	0.601757543
142	0.601472134
143	0.6009545862
144	0.600649691
145	0.6003319127
146	0.5998851539
147	0.5994182743
148	0.5989748297
149	0.5983255585
150	0.5980330254
151	0.5976065328
152	0.5971644379
153	0.5968718789
154	0.5966860098
155	0.5963619211
156	0.5961416843
157	0.596006477
158	0.5955238049
159	0.5952038681
160	0.5947234253
161	0.5940967661
162	0.5938149726
163	0.5933800491
164	0.5930600114
165	0.5926462795
166	0.5922153228
167	0.5919540106
168	0.5915831608
169	0.5910642121
170	0.5906063797
171	0.5900685837
172	0.5896256259
173	0.5893849423
174	0.5889532211
175	0.5885039922
176	0.5881430702
177	0.587706952
178	0.5871816191
179	0.5868617407
180	0.5865297274
181	0.5860566162
182	0.58566358
183	0.5851005512
184	0.5845193115
185	0.5841845161
186	0.583668278
187	0.5832734718
188	0.5827871637
189	0.5826149924
190	0.5821583771
191	0.581793941
192	0.5814019164
193	0.5810091639
194	0.5806622211
195	0.5802180913
196	0.5798725424
197	0.579323827
198	0.5788337181
199	0.5783504275
200	0.5780024493
201	0.5776124756
202	0.5770576146
203	0.5767675099
204	0.5763383108
205	0.5759119096
206	0.5753014156
207	0.5749612088
208	0.5746525022
209	0.574309682
210	0.573926111
211	0.5732999859
212	0.5728567511
213	0.5723467499
214	0.5719447738
215	0.5712910277
216	0.5708627723
217	0.5703399274
218	0.5697383591
219	0.5692302652
220	0.5687949535
221	0.5683290515
222	0.56794439
223	0.5672405172
224	0.5668427322
225	0.5663357796
226	0.5659979356
227	0.565658622
228	0.5652301491
229	0.5646440351
230	0.5640012351
231	0.5635308497
232	0.562982685
233	0.5625144984
234	0.561984734
235	0.5616461538
236	0.561330454
237	0.5607703339
238	0.5604463358
239	0.5602390367
240	0.5598800295
241	0.5596219426
242	0.5591007738
243	0.5587039517
244	0.5583185927
245	0.5578467791
246	0.5575545513
247	0.5571621421
248	0.556785636
249	0.5564121383
250	0.5557434649
251	0.5553270161
252	0.5545564255
253	0.5539625111
254	0.5534195045
255	0.5532041431
256	0.5528580782
257	0.5523729312
258	0.5518507923
259	0.5514710177
260	0.5510824817
261	0.5507722459
262	0.5504365212
263	0.5499322869
264	0.549499746
265	0.5490766175
266	0.5487242164
267	0.5484102671
268	0.5481323523
269	0.5476418072
270	0.5472396476
271	0.5467461529
272	0.5462660309
273	0.5457949614
274	0.5453549987
275	0.5452554107
276	0.5449226111
277	0.5446854634
278	0.5441624661
279	0.5437595831
280	0.5432222495
281	0.5427068548
282	0.5423740548
283	0.5419815817
284	0.5414196574
285	0.5410127398
286	0.5403273929
287	0.5400665968
288	0.5395843001
289	0.5391728261
290	0.5388020364
291	0.5385000518
292	0.5381025418
293	0.5376699621
294	0.537283206
295	0.5365382171
296	0.5362388154
297	0.5358036628
298	0.5355847833
299	0.5352877581
300	0.5349919317
301	0.5346458575
302	0.5343952518
303	0.5339433765
304	0.5336497217
305	0.5333495029
306	0.5330155628
307	0.5326947594
308	0.5322705138
309	0.5318716972
310	0.5315060284
311	0.5312680901
312	0.5308214635
313	0.5306221346
314	0.5303567817
315	0.529893688
316	0.5295530823
317	0.529191299
318	0.5288368455
319	0.5286304874
320	0.5281707514
321	0.5278922091
322	0.5276781101
323	0.5272979492
324	0.5268753748
325	0.5263608572
326	0.5260330825
327	0.5258567671
328	0.5255053136
329	0.5249437774
330	0.5245055759
331	0.5241892797
332	0.5236771991
333	0.5233565631
334	0.5228624021
335	0.5226184894
336	0.5220331618
337	0.5218831756
338	0.5216327558
339	0.5214169463
340	0.5210266412
341	0.5206428203
342	0.5201673047
343	0.519812444
344	0.5190164627
345	0.5187204721
346	0.5183258667
347	0.518085835
348	0.517802989
349	0.5173614761
350	0.5169946594
351	0.5167402679
352	0.5165196713
353	0.5162807889
354	0.5160178959
355	0.5156146322
356	0.515180442
357	0.5147751391
358	0.51423124
359	0.5138478328
360	0.5136581536
361	0.5133182119
362	0.5129843388
363	0.5127504563
364	0.5124355794
365	0.5121046935
366	0.5117649128
367	0.5113876669
368	0.5110369054
369	0.5105059241
370	0.5102014989
371	0.5099495986
372	0.5096583947
373	0.5094035309
374	0.5090772342
375	0.5085489663
376	0.508259904
377	0.5077425467
378	0.5072537851
379	0.5069937248
380	0.5066823201
381	0.5063123087
382	0.5058733673
383	0.5054153116
384	0.5050751394
385	0.5048021957
386	0.5044289559
387	0.5041046972
388	0.5036854596
389	0.5033334165
390	0.5029684964
391	0.5026249634
392	0.5022039181
393	0.5019272173
394	0.5012756284
395	0.5008703554
396	0.5004214569
397	0.5001361213
398	0.4998291358
399	0.4995218786
